timestamp,vehicle_id,packet_size,e2e_delay,service_time
timestamp,vehicle_id,packet_size,e2e_delay,service_time
timestamp,vehicle_id,packet_size,e2e_delay,service_time
1.1540002312,10.0.0.1,29,0.0000001012,0.609657
1.1540003112,10.0.0.2,29,0.0000001012,0.0654386
1.1540003912,10.0.0.3,29,0.0000001012,0.126907
1.3410018024,10.0.0.3,1011,0.0000008868,0.169314
1.5150016488,10.0.0.3,915,0.00000081,0.313717
1.556001932,10.0.0.3,1092,0.0000009516,0.042195
1.5590016504,10.0.0.2,916,0.0000008108,0.217492
1.647001828,10.0.0.2,1027,0.0000008996,0.142423
1.7480019416,10.0.0.2,1098,0.0000009564,0.130671
1.826001828,10.0.0.2,1027,0.0000008996,0.0259968
1.9140017384,10.0.0.2,971,0.0000008548,0.164137
1.9230018968,10.0.0.1,1070,0.000000934,0.0181376
1.9330018552,10.0.0.2,1044,0.0000009132,0.0252549
2.0770021624,10.0.0.2,1236,0.0000010668,0.00590599
2.2370018824,10.0.0.2,1061,0.0000009268,0.0341748
2.3430019864,10.0.0.1,1126,0.0000009788,0.0209543
2.604001948,10.0.0.2,1102,0.0000009596,0.0208472
2.6290018024,10.0.0.3,1011,0.0000008868,0.126599
2.6810017688,10.0.0.2,990,0.00000087,0.0278783
3.1820017128,10.0.0.3,955,0.000000842,0.0357192
3.5600020312,10.0.0.3,1154,0.0000010012,0.215718
3.6990016728,10.0.0.2,930,0.000000822,0.282189
3.7640013944,10.0.0.3,756,0.0000006828,0.208679
