[2022-05-03 16:00:05.420] [mecLogger2] [info] @ numCars 3
[2022-05-03 16:00:05.420] [mecLogger2] [info] handleMessage: received connectMp1; isSelf? true
[2022-05-03 16:00:05.421] [mecLogger2] [info] handleMessage: received ESTABLISHED; isSelf? false
[2022-05-03 16:00:05.424] [mecLogger2] [info] handleMessage: received data; isSelf? false
[2022-05-03 16:00:05.453] [mecLogger2] [info] handleMessage: received processedMp1Response; isSelf? true
[2022-05-03 16:00:05.469] [mecLogger2] [info] handleMessage: received WarningAlertPacketStart; isSelf? false
[2022-05-03 16:00:05.472] [mecLogger2] [info] handleMessage: received connectService; isSelf? true
[2022-05-03 16:00:05.476] [mecLogger2] [info] handleMessage: received ESTABLISHED; isSelf? false
[2022-05-03 16:00:05.485] [mecLogger2] [info] handleMessage: received data; isSelf? false
[2022-05-03 16:00:05.486] [mecLogger2] [info] handleMessage: received data; isSelf? false
[2022-05-03 16:00:05.490] [mecLogger2] [info] handleMessage: received PingPongPacket; isSelf? false
[2022-05-03 16:00:05.513] [mecLogger2] [info] handleMessage: received processedServiceResponse; isSelf? true
[2022-05-03 16:00:05.417] [mecLogger1] [info] @ numCars 3
[2022-05-03 16:00:05.417] [mecLogger1] [info] handleMessage: received connectMp1; isSelf? true
[2022-05-03 16:00:05.418] [mecLogger1] [info] handleMessage: received ESTABLISHED; isSelf? false
[2022-05-03 16:00:05.423] [mecLogger1] [info] handleMessage: received data; isSelf? false
[2022-05-03 16:00:05.453] [mecLogger1] [info] handleMessage: received processedMp1Response; isSelf? true
[2022-05-03 16:00:05.469] [mecLogger1] [info] handleMessage: received WarningAlertPacketStart; isSelf? false
[2022-05-03 16:00:05.471] [mecLogger1] [info] handleMessage: received connectService; isSelf? true
[2022-05-03 16:00:05.475] [mecLogger1] [info] handleMessage: received ESTABLISHED; isSelf? false
[2022-05-03 16:00:05.483] [mecLogger1] [info] handleMessage: received data; isSelf? false
[2022-05-03 16:00:05.484] [mecLogger1] [info] handleMessage: received data; isSelf? false
[2022-05-03 16:00:05.490] [mecLogger1] [info] handleMessage: received PingPongPacket; isSelf? false
[2022-05-03 16:00:05.513] [mecLogger1] [info] handleMessage: received processedServiceResponse; isSelf? true
[2022-05-03 16:00:05.413] [mecLogger0] [info] @ numCars 3
[2022-05-03 16:00:05.413] [mecLogger0] [info] handleMessage: received connectMp1; isSelf? true
[2022-05-03 16:00:05.415] [mecLogger0] [info] handleMessage: received ESTABLISHED; isSelf? false
[2022-05-03 16:00:05.417] [mecLogger0] [info] handleMessage: received data; isSelf? false
[2022-05-03 16:00:05.451] [mecLogger0] [info] handleMessage: received processedMp1Response; isSelf? true
[2022-05-03 16:00:05.468] [mecLogger0] [info] handleMessage: received WarningAlertPacketStart; isSelf? false
[2022-05-03 16:00:05.471] [mecLogger0] [info] handleMessage: received connectService; isSelf? true
[2022-05-03 16:00:05.473] [mecLogger0] [info] handleMessage: received ESTABLISHED; isSelf? false
[2022-05-03 16:00:05.481] [mecLogger0] [info] handleMessage: received data; isSelf? false
[2022-05-03 16:00:05.482] [mecLogger0] [info] handleMessage: received data; isSelf? false
[2022-05-03 16:00:05.490] [mecLogger0] [info] handleMessage: received PingPongPacket; isSelf? false
[2022-05-03 16:00:05.513] [mecLogger0] [info] handleMessage: received processedServiceResponse; isSelf? true
[2022-05-03 16:43:19.179] [mecLogger2] [info] handleMessage: received PingPongPacket; isSelf? false
[2022-05-03 16:43:19.198] [mecLogger2] [info] handleMessage: received PingPongPacket; isSelf? false
[2022-05-03 16:43:19.316] [mecLogger2] [info] handleMessage: received PingPongPacket; isSelf? false
[2022-05-03 16:43:19.360] [mecLogger2] [info] handleMessage: received PingPongPacket; isSelf? false
[2022-05-03 16:43:19.503] [mecLogger2] [info] handleMessage: received PingPongPacket; isSelf? false
[2022-05-03 16:43:19.553] [mecLogger2] [info] handleMessage: received PingPongPacket; isSelf? false
[2022-05-03 16:43:19.654] [mecLogger2] [info] handleMessage: received PingPongPacket; isSelf? false
[2022-05-03 16:43:19.666] [mecLogger2] [info] handleMessage: received PingPongPacket; isSelf? false
[2022-05-03 16:43:19.756] [mecLogger2] [info] handleMessage: received PingPongPacket; isSelf? false
[2022-05-03 16:43:19.797] [mecLogger2] [info] handleMessage: received PingPongPacket; isSelf? false
[2022-05-03 16:43:19.102] [mecLogger1] [info] handleMessage: received PingPongPacket; isSelf? false
[2022-05-03 16:43:19.146] [mecLogger1] [info] handleMessage: received PingPongPacket; isSelf? false
[2022-05-03 16:43:19.237] [mecLogger1] [info] handleMessage: received PingPongPacket; isSelf? false
[2022-05-03 16:43:19.272] [mecLogger1] [info] handleMessage: received PingPongPacket; isSelf? false
[2022-05-03 16:43:19.408] [mecLogger1] [info] handleMessage: received PingPongPacket; isSelf? false
[2022-05-03 16:43:19.597] [mecLogger1] [info] handleMessage: received PingPongPacket; isSelf? false
[2022-05-03 16:43:19.647] [mecLogger1] [info] handleMessage: received PingPongPacket; isSelf? false
[2022-05-03 16:43:19.691] [mecLogger1] [info] handleMessage: received PingPongPacket; isSelf? false
[2022-05-03 16:43:19.823] [mecLogger1] [info] handleMessage: received PingPongPacket; isSelf? false
